岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
關子嶺,終極岩,GZ-ULTIMATE-001,野地飛鼠,The Flying Squirrel in the Field,5.12c,4,"關子嶺攀岩場「野地飛鼠」 | https://www.youtube.com/watch?v=OUmz50eba9I
野地飛鼠 爬右邊掛扣版 5.12a 關子嶺 climber阿亮 | https://www.youtube.com/watch?v=aBAUtqL2-ok
關子嶺-野地飛鼠5.12C-筱瑄 | https://www.youtube.com/watch?v=aGFHZ2zMVZk
關子嶺終極岩 野地飛鼠 Climber: 智威，十二分鐘耐力攀爬 | https://www.youtube.com/watch?v=qe-_UP3Z7C8",,
關子嶺,終極岩,GZ-ULTIMATE-002,雪山飛狐,The Flying Fox in Snow Mountain,5.12c,6,"雪山飛狐5.12c關子嶺[climber阿亮] | https://www.youtube.com/watch?v=1lzCDuVM04M
關子嶺攀岩場「雪山飛狐」5.12d | https://www.youtube.com/watch?v=Dlwgg3CvP9Y
雪山飛狐5.12c關子嶺 zoom in 版 | https://www.youtube.com/watch?v=cpH7Fru3ljw
2014 0216 關子嶺 雪山飛狐5 12cd 秋玫 MP4 | https://www.youtube.com/watch?v=tJHmwYp3g3w
史拉米完攀關子嶺雪山飛狐 | https://www.youtube.com/watch?v=iJYc_dQuDXM
雪山飛狐 -12D @ 關子嶺 | https://www.youtube.com/watch?v=skMrPNyJsdY",,
關子嶺,終極岩,GZ-ULTIMATE-003,小樹,Under the Banyan,5.11b,1,關子嶺 終極岩 小樹/ㄧ棵榕樹下 5.11b | https://www.youtube.com/watch?v=1gPCPCeKtqs,,
關子嶺,終極岩,GZ-ULTIMATE-004,天龍八步,The Dragon Dances in the Air,5.13b,6,"關子嶺攀岩場「天龍八步」5.13b | https://www.youtube.com/watch?v=8A81Ik9ut4o
首席爬  天龍八步5.13b | https://www.youtube.com/watch?v=793QqPGchKs
關子嶺「天龍八步」難關解 | https://www.youtube.com/watch?v=xucZh8ZDdTw
方翔「天龍八步」5.13b | https://www.youtube.com/watch?v=QuOp80JuBa8
關子嶺「天龍八步」之殘念 | https://www.youtube.com/watch?v=nYwMSs8DS2c
天龍八步-小魏 | https://www.youtube.com/watch?v=G-scx-qk6m8",,
關子嶺,終極岩,GZ-ULTIMATE-005,叭咘叭咘,Babubabu,5.12c,,"關子嶺攀岩場-「叭咘叭咘」5.12c | https://www.youtube.com/watch?v=wM0-hNsVkBw
關子嶺終極岩 叭咘叭咘 Climber小魏 | https://www.youtube.com/watch?v=jmU-TVEH0E4",,
關子嶺,終極岩,GZ-ULTIMATE-006,青蛙王子,The Frog Prince,5.12d,7,"關子嶺 青蛙王子 5.12d / 7c [climber 阿亮] | https://www.youtube.com/watch?v=GqG6J7pDB9w
關子嶺「青蛙王子·直上版」5.12d | https://www.youtube.com/watch?v=RYIcMUk6i9k
關子嶺攀岩 終極岩/青蛙王子 | https://www.youtube.com/watch?v=mlCcHcnN1wk
關子嶺 終極岩 青蛙王子5.12cd R.P | https://www.youtube.com/watch?v=jNmgN1mqLXw
青蛙王子5.12d_曉嵐 | https://www.youtube.com/watch?v=AMb6fcdwgJo
關子嶺終極岩 青蛙王子 climber家祝 | https://www.youtube.com/watch?v=1lH3KBDaAd4
關子嶺攀岩場「青蛙王子」 | https://www.youtube.com/watch?v=hcSYYVXdd6k",,
關子嶺,終極岩,GZ-ULTIMATE-007,終極右,Ultimate-Right,5.10c,6,"關子嶺攀岩場「終極右」5.10c | https://www.youtube.com/watch?v=pg5knpaznKE
關子嶺 終極岩 終極右 5.10c | https://www.youtube.com/watch?v=kcYRdos4UYc
關子嶺-終極岩_終極右5.10c (climber: 峻銘) | https://www.youtube.com/watch?v=mxhua3N2b98
關子嶺岩場_終極岩_終極右(5.10C) | https://www.youtube.com/watch?v=pwXrEBgItfw
關子嶺—終極岩—終極右 5.10c | https://www.youtube.com/watch?v=HY27AHTqWyQ
宛庭「終極右」5.10c | https://www.youtube.com/watch?v=MtVkzZv6TpM",,
關子嶺,終極岩,GZ-ULTIMATE-008,終極左,Ultimate-Left,5.11d,1,關子嶺攀岩場「終極左」5.11d | https://www.youtube.com/watch?v=Hcchhl1XB-4,,
關子嶺,終極岩,GZ-ULTIMATE-009,Project,Project,5.12d,0,,,
關子嶺,集合場,GZ-ASSEMBLING-001,天天天藍,The Blue Sky,5.10d,3,"2023.12.10 關子嶺岩場，一生一次的機會《天天天藍5.10d-Flash》 | https://www.youtube.com/watch?v=6vBkJZZowkE
關仔嶺 - 天天天藍 5.10D | https://www.youtube.com/watch?v=Ce6kvAp-68Y
關子嶺集合場 天天天藍 Climber:凱眉RP | https://www.youtube.com/watch?v=hnnQSd3l-lk",,
