岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
墾丁,神秘森林,KT-MF-001,遺落海岸,Lost coast,5.11a,0,,,
墾丁,神秘森林,KT-MF-002,小精靈,Kodama,5.10b,0,,,
墾丁,神秘森林,KT-MF-003,亞克路,Yakul,5.11b,0,,,
墾丁,神秘森林,KT-MF-004,山獸神,Forest Spirit,5.11d,0,,,
墾丁,神秘森林,KT-MF-005,夜行者,Nightwalker,5.11b,0,,,
墾丁,神秘森林,KT-MF-006,樹靈,Tree Spirit,5.10d,0,,,
墾丁,神秘森林,KT-MF-007,邪魔,Demon,5.10b,0,,,
墾丁,神秘森林,KT-MF-008,森林人,Forester,5.11b,7,,,
墾丁,舊牆,KT-AW-001,未知,Unknown,5.9,0,,,
墾丁,舊牆,KT-AW-002,有期徒刑,Imprisonment,5.10a,0,,,
墾丁,舊牆,KT-AW-003,菊石,Ammonites,5.9,0,,,
墾丁,舊牆,KT-AW-004,,Displaying Very Little Talent,5.9,0,,,
墾丁,舊牆,KT-AW-005,小魚,Small Fish,5.10a,0,,,
墾丁,舊牆,KT-AW-006,Project,Project,5.1,1,,,
墾丁,舊牆,KT-AW-007,鵝掌藤,Umbrella Tree,5.9,0,,,
墾丁,陽光牆,KT-SW-001,沙塵暴,Sand storm,5.11c,0,,,
墾丁,陽光牆,KT-SW-002,芝麻湯圓,Sesame dumplings,5.11a,0,,,
墾丁,陽光牆,KT-SW-003,奇爬,ChiClimb,5.12b,0,,,
墾丁,陽光牆,KT-SW-004,沙行者,Sand walker,5.11b,0,,,
墾丁,陽光牆,KT-SW-005,風花雪月,Romantic,5.12a,0,,,
墾丁,陽光牆,KT-SW-006,陽光男孩,Sunny boy,5.12b,0,,,
墾丁,陽光牆,KT-SW-007,阿法,Alpha,5.13b+,0,,,
墾丁,陽光牆,KT-SW-008,貝塔,Beta,5.13b,1,墾丁攀岩場＿陽光牆＿Beta 5.13b | https://www.youtube.com/watch?v=Sw0AFeReG3E,,
墾丁,陽光牆,KT-SW-009,日正當中,High noon,5.11c,0,,,
墾丁,陽光牆,KT-SW-010,,Lock and Trust,5.12a,0,,,
墾丁,陽光牆,KT-SW-011,呼去啦,Hail Mary,5.12b,0,,,
墾丁,陽光牆,KT-SW-012,斜陽,Slanting sunlight,5.10d,1,2025-12-27 墾丁 斜陽 5.10d | https://www.youtube.com/watch?v=7ZLFxr6ajlQ,,
墾丁,陽光牆,KT-SW-013,落山風,Katabatic winds,5.12a,0,,,
墾丁,陽光牆,KT-SW-014,閃電,Lightning,5.12a,3,"Lightning 閃電 5.12a 墾丁攀岩場 | https://www.youtube.com/watch?v=2GVIwWQIB3M
閃電 5.12a 墾丁攀岩場 | https://www.youtube.com/watch?v=irB4jYC4d5g
閃電 Lightening(5.12a), 墾丁 Kenting, Taiwan | https://www.youtube.com/watch?v=a_Q5WgGQnqM",,
墾丁,陽光牆,KT-SW-015,,Happy Crimper,5.12a,1,Happy crimper 5.12a 墾丁戶外岩場 | https://www.youtube.com/watch?v=V37qalaiCsM,,
墾丁,陽光牆,KT-SW-016,望著大海,Staring at the sea,5.12c,0,,,
墾丁,陽光牆,KT-SW-017,沒有弱點的男人,Man with no weakness,5.12a,0,,,
墾丁,陽光牆,KT-SW-018,看起來我可以,Looks like I can do it,5.11c,0,,,
墾丁,陽光牆,KT-SW-019,,12 Plus,5.12c,0,,,
墾丁,陽光牆,KT-SW-020,壞爸爸,Bad Dad,5.12d,0,,,
墾丁,陽光牆,KT-SW-021,岩徑偕行,The Rock Path,5.13a,2,"岩徑偕行 5.13a 墾丁攀岩場 | https://www.youtube.com/watch?v=qsHIq3ant24
墾丁岩場＿陽光牆＿岩徑偕行 5.13a | https://www.youtube.com/watch?v=snCxoez2EFY",,
墾丁,陽光牆,KT-SW-022,Open Project,Open Project,5.14a,0,,,
墾丁,陽光牆,KT-SW-023,魔女橋,Witch's Bridge,5.13d,1,墾丁攀岩場＿陽光牆＿魔女橋 5.13d | https://www.youtube.com/watch?v=oGoWInXQERg,,
墾丁,陽光牆,KT-SW-024,,Zeta,5.14a,0,,,
墾丁,陽光牆,KT-SW-025,偷電賊,Thieves of Power,5.12c,0,,,
墾丁,陽光牆,KT-SW-026,燒了老闆,Burn the Lao ban,5.12b,1,燒了老闆 5.12b 墾丁攀岩場 | https://www.youtube.com/watch?v=p8HZIqwArdQ,,
墾丁,陽光牆,KT-SW-027,看起來我的菜,Looks like my style,5.12c,0,,,
墾丁,陽光牆,KT-SW-028,蛻變,Meta,5.13d,0,,,
墾丁,陽光牆,KT-SW-029,揍普丁,Punching Putin,5.12c,1,揍普丁 5.12c 墾丁攀岩場 | https://www.youtube.com/watch?v=vMQs4UosK0M,,
墾丁,陽光牆,KT-SW-030,兒童樂園,Children's Paradise,5.12b,0,,,
墾丁,陽光牆,KT-SW-031,垂降學家,Abseilist,5.10a,0,,,
墾丁,陽光牆,KT-SW-032,不算,Bu Suan,5.12c,1,不算 5.12c 墾丁攀岩場 | https://www.youtube.com/watch?v=27ORLSbq3k4,,
墾丁,陽光牆,KT-SW-033,生態學家,Ecologist,5.12d,0,,,
墾丁,陽光牆,KT-SW-034,越嶺獵鹿,Crossing the ridge to hunt the deer,5.10a,0,,,
墾丁,陽光牆,KT-SW-035,米漿,Rice Milk,5.10a,0,,,
墾丁,陽光牆,KT-SW-036,Slab小練習,Slab小練習,5.11a,0,,,
墾丁,陽光牆,KT-SW-037,露出半個龜頭,Show me your tortoise head,5.10c,0,,,
墾丁,陽光牆,KT-SW-038,拉麵,Ramen,5.10a,1,,,
墾丁,陽光牆,KT-SW-039,小翠,Xiao cuì,5.10a,0,,,
墾丁,龍牆,KT-DW-001,,Style bender,5.11b,0,,,
墾丁,龍牆,KT-DW-002,我可以,I can do it,5.9,0,,,
墾丁,龍牆,KT-DW-003,龍馬精神,Stoked old man,5.9,0,,,
墾丁,龍牆,KT-DW-004,,Snapdragon,5.12c,0,,,
墾丁,龍牆,KT-DW-005,龍珠,Dragon ball,5.12d,3,"龍珠 5.12d 墾丁攀岩場 | https://www.youtube.com/watch?v=DDFvuOqVypY
墾丁  龍珠 5.12D | https://www.youtube.com/watch?v=3GHY6uYf-xE
龍珠 Dragon Ball(5.12d), 墾丁 Kenting, Taiwan | https://www.youtube.com/watch?v=fVfoNz8ZkzE",,
墾丁,龍牆,KT-DW-006,龍珠左,Dragon ball left,5.12b,0,,,
墾丁,龍牆,KT-DW-007,龍王,Dragon King,5.14a,1,墾丁攀岩場＿龍牆＿Dragon king 5.14a＿Brett Walker | https://www.youtube.com/watch?v=BLiyuxCaf0k,,
墾丁,龍牆,KT-DW-008,飛龍,Flying Dragon,5.13b,3,"墾丁攀岩場＿龍牆＿飛龍5.13b | https://www.youtube.com/watch?v=U5gCrVS4iF4
飛龍 5.13b/c 墾丁攀岩場 | https://www.youtube.com/watch?v=rTPBHT5Y8TQ
飛龍 Flying Dragon (5.13b), 墾丁 Kenting, Taiwan | https://www.youtube.com/watch?v=AmVSkzxPuKs",,
墾丁,龍牆,KT-DW-009,飛龍在天,Flying Dragon in the sky,5.13c,0,,,
墾丁,龍牆,KT-DW-010,豆豆龍,Totoro,5.13a,1,豆豆龍 5.13a/b | https://www.youtube.com/watch?v=Exhpm5ttKyE,,
墾丁,龍牆,KT-DW-011,泡泡龍,Bubble Bubble,5.11b,0,,,
墾丁,龍牆,KT-DW-012,短小精幹,Short and lean,5.11d,0,,,
墾丁,龍牆,KT-DW-013,人中之龍,Key man,5.12d,0,,,
墾丁,龍牆,KT-DW-014,壁虎,Wall tiger,5.10d,0,,,
墾丁,龍牆,KT-DW-015,新竹客家人,Hsinchu Hakkas,5.10d,0,,,
墾丁,龍牆,KT-DW-016,醉西瓜,Drunken watermelon,5.12a,1,5.12a Drunken watermelon 醉西瓜 | https://www.youtube.com/watch?v=Ny0ghXipZgo,,
墾丁,龍牆,KT-DW-017,火龍果,Dragon Fruit,5.10b,1,,,
墾丁,龍牆,KT-DW-018,龍水宮廟,Longshui Temple,5.10b,0,,,
墾丁,龍牆,KT-DW-019,哇沙米,Wasabi,5.12c,0,,,
墾丁,龍牆,KT-DW-020,,One finger wonder,5.12d,0,,,
墾丁,龍牆,KT-DW-021,審判日,Judgement Day,5.13c,1,墾丁攀岩場＿龍牆＿審判日 Judgement Day | https://www.youtube.com/watch?v=ChwIMg_5P6Q,,
