岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
龍洞,音樂廳,LD-MUSIC-HALL-329,肥牛,Fat Cow,5.6,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-330,瘦馬,Skinny Horse,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-331,直上,Straight Up,5.12b,1,,,
龍洞,音樂廳,LD-MUSIC-HALL-332,最後懸岩,Last Overhang,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-333,最後巨石,Last Huge Rock,5.7,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-334,曖昧,Indistinct,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-335,鼻子裂隙,Nose Crack,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-336,第三隻鼻,The Third Nose,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-337,破臉,Ti Spacco la Faccia,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-338,直接嘗試,Direct Attempt,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-339,南西的嘗試,Nancy's Attempt,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-340,偷臉,Steal Your Face,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-340.1,心太軟 (紅棗麻糬),Red Dates Mochi,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-341,三隻右腳,Three Right Feet,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-342,右腳,Right Feet Direttissima,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-343,大鼻子情聖,Big Nose Valentino,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-344,大鼻子右,Big Nose Right,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-345,裂隙我來了,Comeback Crack,5.8,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-346,岩角我來了,Comeback Arête,5.11c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-347,我來了,Come Back,5.10a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-348,狗腿,Henchman,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-349,水煙袋,Hubble,5.12c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-350,勉勉強強,Reluctant,5.11a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-351,不要勉強,Don't Be Reluctant,5.10d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-352,馬爾莫拉達,Marmolada,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-352.1,馬爾莫拉達右側懸岩,Marmolada Overhang,5.10a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-353,白色岩角,White Arête,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-354,臨海茶室,Seaside Tea,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-355,慢板,Lento,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-356,倒拉夾手,Undercling Jam,5.11a,0,2021/11/21-龍洞-音樂廳-倒拉夾手-宸安完攀	https://www.youtube.com/watch?v=texvCIIlhaI,,
龍洞,音樂廳,LD-MUSIC-HALL-357,金字塔,Pyramid,5.8,1,,,
龍洞,音樂廳,LD-MUSIC-HALL-357.1,未收錄路線,Unlisted Route,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-358,音樂廳煙囪,Musical Chimney,5.6,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-358.1,小鯨魚頭左側,Little Whale's Head Left,5.10b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-358.2,小鯨魚頭右側,Little Whale's Head Right,5.8,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-359,中華民國,ROC,5.12c,2,"攀岩龍洞 音樂廳/中華民國 | https://www.youtube.com/watch?v=CBrCMm7oIEM
中華民國 - 直上 | https://www.youtube.com/watch?v=f_SDlBGYcWo",,
龍洞,音樂廳,LD-MUSIC-HALL-360,大韓民國,ROK,5.11d,0,攀岩 龍洞 音樂廳/大韓民國	https://www.youtube.com/watch?v=U4WaSSMjLD8,,
龍洞,音樂廳,LD-MUSIC-HALL-361,超級假面,Super Face,5.13b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-362,一飛沖天,Rocket,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-363,鳥人,Bird Man,5.12a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-364,風平浪靜,Composure,5.10a,1,龍洞 - 音樂廳 - 風平浪靜(5.10a) | https://www.youtube.com/watch?v=E5psgerr6Fo,,
龍洞,音樂廳,LD-MUSIC-HALL-365,岩楔當家,The Nut Pitch,5.8,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-366,大煙囪,Broad Chimney,5.8,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-367,Fucking Fall,(又名：78決賽，或全員墜落),5.11a,6,"龍洞 攀岩 音樂廳 Fucking fall 5.11a | https://www.youtube.com/watch?v=2rj_09nNj7k
龍洞攀岩_Fucking Fall_漩 | https://www.youtube.com/watch?v=lpqP28ZhLeQ
Fucking Fall（該死的墜落）5.11a｜龍洞 | https://www.youtube.com/watch?v=4u-84ODebZk
The Fucking Fall (5.11a) at Long Dong coast. | https://www.youtube.com/watch?v=cklnu8SRtV0
Milk makes easy work of Fucking Fall | https://www.youtube.com/watch?v=rcB9_aNvIF0
2021/02/21-龍洞-音樂廳-Fucking Fall-Jam第一次嘗試 (1) | https://www.youtube.com/watch?v=-e1KF_8m0Rk
2021/02/21-龍洞-音樂廳-Fucking Fall-Jam第一次嘗試 (2)	https://www.youtube.com/watch?v=Fkv5eYPv478",,
龍洞,音樂廳,LD-MUSIC-HALL-368,龍發堂,Long Fatang,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-369,大鼓,Big Drum,5.11b,3,"大鼓 5.11b 運攀 Big Drum 5.11b Sport | https://www.youtube.com/watch?v=_ceH4G79iW0
攀岩 龍洞 音樂廳/大鼓 | https://www.youtube.com/watch?v=ioaoMkbx8Y4
龍洞＿大鼓 | https://www.youtube.com/watch?v=oiOQpsvp5ME",,
龍洞,音樂廳,LD-MUSIC-HALL-370,挫敗,Frustration,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-371,豎琴,Fingercrack,5.11c,1,龍洞 - 音樂廳 - 豎琴（5.11c/6c+) | https://www.youtube.com/watch?v=c6ZzhlN5BnI,,
龍洞,音樂廳,LD-MUSIC-HALL-372,音樂廳岩角,Musical Arête,5.12b,0,康師傅-音樂廳岩角	https://www.youtube.com/watch?v=PVNu85ERDHg,,
龍洞,音樂廳,LD-MUSIC-HALL-373,煙囪橫渡,Chimney Connector,5.12b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-374,熱門橫渡,Traffic Jam Traverse,5.11c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-375,第八條5.11,The Eighth Eleven,5.11a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-376,7-Eleven-A,,5.11c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-377,7-Eleven-B,,5.11b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-378,7-Eleven-C,,5.11a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-379,7-Eleven-D,,5.11c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-380,7-Eleven-E,,5.11b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-381,7-Eleven-F,,5.11b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-382,7-Eleven-G,,5.11a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-383,結婚路線,Wedding Route,5.7,1,2014-10-21 龍洞攀岩場 路線383（結婚路線）,https://www.youtube.com/watch?v=tDgGodL6-u8,
龍洞,音樂廳,LD-MUSIC-HALL-384,東北角,Northeast Coast,5.8,3,,,
龍洞,音樂廳,LD-MUSIC-HALL-385,橫渡B到G,B2G Traverse,5.12b,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-386,橫渡7-Eleven,7-Eleven Traverse,5.12c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-387,橫渡萬里長城,Great Wall Traverse,5.13a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-388,小三角,Small Triangle,5.8,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-388.1,結婚路線平台內角,Wedding Route Ledge,5.6,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-389,大三角,Big Triangle,5.11d,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-390,演奏台一,RH1,5.6,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-391,演奏台二,RH2,5.7,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-392,演奏台三,RH3,5.6,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-393,演奏台四,RH4,5.6,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-394,演奏台五,RH5,5.3,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-395,小提琴,Small Violin,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-396,二胡,Chinese Fiddle,5.7,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-397,95魔障,Devil's Challenge,5.??,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-398,舞臺作手,Stagehand,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-399,佈景,Backdrop,5.9,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-400,二胡天花板,Chinese Fiddle Roofs,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-400.1,名稱待確認,TBC,5.10c,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-401,包廂內角,Balcony Dihedral,5.8,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-401.1,包廂內角 | P2,Balcony Dihedral | P2,5.10a,0,,,
龍洞,音樂廳,LD-MUSIC-HALL-401.2,未命名路線,Unnamed Route,5.??,0,,,
