岩場,區域,路線ID,路線名稱,路線英文名,難度,找到數量,建議影片（標題 | URL）,選擇的YouTube影片,選擇的Instagram貼文
壽山,外牆,SS-OUTSIDE-WALL-001,安心亞,An Xin Ya,5.10d,0,,,
壽山,外牆,SS-OUTSIDE-WALL-002,豆花妹,Tofu Pudding Girl,5.10d,0,,,
壽山,外牆,SS-OUTSIDE-WALL-003,一顆小樹,A Little Tree,5.12c,0,,,
壽山,外牆,SS-OUTSIDE-WALL-004,福德正神,God of Fortune,5.11b,0,,,
壽山,外牆,SS-OUTSIDE-WALL-005,土地婆,Earth Goddess,5.11d,1,微岩攀岩-土地婆5.11d | https://www.youtube.com/watch?v=GIggBteFv-s,,
壽山,外牆,SS-OUTSIDE-WALL-006,土地公,Earth God,5.11d,0,,,
壽山,外牆,SS-OUTSIDE-WALL-007,Pump,Pump,5.10c,0,,,
壽山,外牆,SS-OUTSIDE-WALL-008,出差第二天,Business Trip Day 2,5.12d,0,壽山攀岩場「出差第二天」5.12a | https://www.youtube.com/watch?v=41UWrqM8ajg
壽山,外牆,SS-OUTSIDE-WALL-009,Y2K,Y2K,5.12a,1,壽山天然岩場「Y2K」5.12a | https://www.youtube.com/watch?v=V3JFI5_OeBw,,
壽山,外牆,SS-OUTSIDE-WALL-010,從地獄出來,Out of Hell,5.11a,0,,,
壽山,外牆,SS-OUTSIDE-WALL-011,Angelababy,Angelababy,5.10d,0,,,
壽山,外牆,SS-OUTSIDE-WALL-012,安心上路,Safe Journey,5.11a,0,,,
壽山,外牆,SS-OUTSIDE-WALL-013,安ㄋㄟ甘丟,Is It Safe,5.10d,0,,,
壽山,外牆,SS-OUTSIDE-WALL-014,Y2K出差,Y2K Business Trip,5.13a,0,,,
壽山,通道,SS-PASSAGE-001,飛天仙女,Flying Fairy,5.11a,0,,,
壽山,通道,SS-PASSAGE-002,飛天婢女,Flying Maid,5.10b,0,,,
壽山,通道,SS-PASSAGE-003,待命名一,Unnamed 1,5.10a,0,,,
壽山,通道,SS-PASSAGE-004,待命名二,Unnamed 2,5.10a,0,,,
壽山,平台上,SS-PLATFORM-UPPER-001,左青龍,Left Blue Dragon,5.10b,0,,,
壽山,平台上,SS-PLATFORM-UPPER-002,右白虎,Right White Tiger,5.10c,0,,,
壽山,平台上,SS-PLATFORM-UPPER-003,老樹盤根,Old Tree Roots,5.10a,0,,,
壽山,平台上,SS-PLATFORM-UPPER-004,中秋節,Mid-Autumn Festival,5.10b,0,,,
壽山,平台上,SS-PLATFORM-UPPER-005,香雞排,Crispy Chicken,5.10a,0,,,
壽山,平台上,SS-PLATFORM-UPPER-006,鹹酥雞,Salty Crispy Chicken,5.10b,0,,,
壽山,平台上,SS-PLATFORM-UPPER-007,磨繩子,Rope Grinder,5.11b,0,,,
壽山,平台上,SS-PLATFORM-UPPER-008,北京鹹酥雞,Beijing Crispy Chicken,5.12a,0,,,
壽山,平台上,SS-PLATFORM-UPPER-009,加藤鷹之指,Kato Taka's Finger,5.11a,0,,,
壽山,平台上,SS-PLATFORM-UPPER-010,阿雪路線,A-Xue Route,5.11a,1,壽山-阿雪路線.m4v | https://www.youtube.com/watch?v=fF_StsICqsQ,,
壽山,平台上,SS-PLATFORM-UPPER-011,山頂洞人,Caveman,5.10d,2,"壽山千光寺 山頂洞人5.10d OS | https://www.youtube.com/watch?v=5mR9PT8qWuc
小紅「山頂洞人」 | https://www.youtube.com/watch?v=O2oa_xVYxR8",,
壽山,平台上,SS-PLATFORM-UPPER-012,越嶺獵狐,Fox Hunt,5.12a,3,"壽山攀岩場「越嶺獵狐」5.12a | https://www.youtube.com/watch?v=S5YVeKAv5I4
峻豪-「越嶺獵狐」5.12a | https://www.youtube.com/watch?v=9Zd3Mx7Et0I
壽山 千光寺 越嶺獵狐 | https://www.youtube.com/watch?v=Fc46_KR85g4",,
壽山,平台上,SS-PLATFORM-UPPER-013,蛹夢,Cocoon Dream,5.10d,1,壽山攀岩場「蛹夢」5.10d | https://www.youtube.com/watch?v=IDvpQdS0F0Y,,
壽山,平台上,SS-PLATFORM-UPPER-014,作夢,Dreaming,5.11a,0,,,
壽山,平台上,SS-PLATFORM-UPPER-015,龍門,Dragon Gate,5.12c,0,,,
壽山,平台下,SS-PLATFORM-LOWER-001,Prada,Prada,5.10b,0,,,
壽山,平台下,SS-PLATFORM-LOWER-002,香奈兒,Chanel,5.11a,0,,,
壽山,平台下,SS-PLATFORM-LOWER-003,3 in 1 左,3 in 1 Left,5.10d,0,,,
壽山,平台下,SS-PLATFORM-LOWER-004,3 in 1 中,3 in 1 Middle,5.11b,0,,,
壽山,平台下,SS-PLATFORM-LOWER-005,3 in 1 右,3 in 1 Right,5.10c,0,,,
壽山,平台下,SS-PLATFORM-LOWER-006,忍者龜,Ninja Turtle,5.10d,0,,,
壽山,平台下,SS-PLATFORM-LOWER-007,內角,Inside Corner,5.10d,0,,,
壽山,平台下,SS-PLATFORM-LOWER-008,超級賽亞人,Super Saiyan,5.11a,0,,,
壽山,平台下,SS-PLATFORM-LOWER-009,策馬入林,Galloping into the Forest,5.12b,0,,,
壽山,平台下,SS-PLATFORM-LOWER-010,國慶日,National Day,5.10b,0,,,
壽山,平台下,SS-PLATFORM-LOWER-011,好痛,So Painful,5.10c,0,,,
壽山,平台下,SS-PLATFORM-LOWER-012,新婚之男,Newlywed Man,5.10d,0,,,
壽山,平台下,SS-PLATFORM-LOWER-013,新婚國慶,Newlywed National Day,5.10d,0,,,
壽山,平台下,SS-PLATFORM-LOWER-014,邊境,Border,5.11b,0,,,
壽山,平台下,SS-PLATFORM-LOWER-015,唬神,Bluffing God,5.11d,0,,,
壽山,平台下,SS-PLATFORM-LOWER-016,Final Fantastic,Final Fantastic,5.10d,0,,,
壽山,南面,SS-SOUTH-FACE-001,練習一,Practice 1,5.7,0,,,
壽山,南面,SS-SOUTH-FACE-002,練習二,Practice 2,5.6,0,,,
壽山,南面,SS-SOUTH-FACE-003,練習三,Practice 3,5.8,0,,,
壽山,南面,SS-SOUTH-FACE-004,Lady First,Lady First,5.8,0,,,
壽山,南面,SS-SOUTH-FACE-005,纖纖玉指,Delicate Fingers,5.10d,0,,,
壽山,南面,SS-SOUTH-FACE-006,非上不可,Must Climb,5.9,0,,,
壽山,南面,SS-SOUTH-FACE-007,包大人,Judge Bao,5.10d,0,,,
壽山,南面,SS-SOUTH-FACE-008,蜥蜴的午餐,Lizard's Lunch,5.10d,0,,,
壽山,南面,SS-SOUTH-FACE-009,岩角左線,Arete Left,5.10c,0,,,
壽山,南面,SS-SOUTH-FACE-010,上天梯,Stairway to Heaven,5.9,0,,,
壽山,南面,SS-SOUTH-FACE-011,新打,New Route,5.10a,0,,,
壽山,天橋下,SS-UNDER-BRIDGE-001,Skywalker,Skywalker,5.10d,0,,,
壽山,天橋下,SS-UNDER-BRIDGE-002,Skywalker 2,Skywalker 2,5.10c,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-001,霸氣CEO,Domineering CEO,5.11a,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-002,左右為難,In a Dilemma,5.10d,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-003,橋下風光,Under Bridge,5.11a,1,柴山攀岩（橋下風光）by無人 | https://www.youtube.com/watch?v=14zOqJ5I1ek,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-004,"Never Stop, Smile No matter What","Never Stop, Smile No matter What",5.10b,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-005,心悸,Palpitation,5.10d,0,,,
壽山,絕情谷,SS-HEARTLESS-VALLEY-006,我在絕情谷底,Unrelenting Valley,5.11a,1,"我在絕情谷底 6c/11b Unrelenting valley @ 壽山, 高雄 | https://www.youtube.com/watch?v=jDwIchtmWH4",,
壽山,絕情谷,SS-HEARTLESS-VALLEY-007,情花無毒,Love Flower Non-toxic,5.10b,0,,,
